Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
ctrl.1.0.5_output_forward_paired	37.60876507654438	46.0	121.0977335997761	9.090909090909092	814684.0		
ctrl.1.0.5_output_reverse_paired	37.19561579983688	47.0	120.25482518375223	9.090909090909092	814684.0		
ctrl.1.0.5_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.02.19-PST						74.86890622621777	609945
ctrl.1.1.5_output_forward_paired	38.88731370965199	47.0	130.25755844741693	18.181818181818183	407888.0		
ctrl.1.1.5_output_reverse_paired	38.772310364123655	47.0	129.1114325501118	9.090909090909092	407888.0		
ctrl.1.1.5_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.02.19-PST						83.17945122190406	339279
ctrl.1.2.0_output_forward_paired	54.08479433816168	49.0	143.2521264903102	18.181818181818183	1669535.0		
ctrl.1.2.0_output_reverse_paired	52.7324313242402	49.0	141.04363250845296	18.181818181818183	1669535.0		
ctrl.1.2.0_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST						87.87644463877666	1467128
ctrl.1.3.0_output_forward_paired	38.175193993419455	48.0	138.65992281863114	9.090909090909092	271309.0		
ctrl.1.3.0_output_reverse_paired	36.816524510951965	48.0	136.6874301995142	9.090909090909092	271309.0		
ctrl.1.3.0_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST						86.8371487860705	235597
ctrl.1.5.0_output_forward_paired	44.60850545228623	47.0	140.40848631169433	9.090909090909092	799405.0		
ctrl.1.5.0_output_reverse_paired	44.10552228085468	47.0	139.30658302112195	9.090909090909092	799405.0		
ctrl.1.5.0_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST						87.89799913685805	702661
ctrl.2.3.4_output_forward_paired	67.18827641687682	49.0	145.83537260823385	18.181818181818183	4206724.0		
ctrl.2.3.4_output_reverse_paired	65.58582138308232	49.0	143.67366031144425	18.181818181818183	4206724.0		
ctrl.2.3.4_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST						88.41433381415087	3719347
ctrl.3.2.5_output_forward_paired	57.216399491642726	48.0	74.77926080241652	18.181818181818183	2551767.0		
ctrl.3.2.5_output_reverse_paired	56.07170437325538	47.0	74.4967538180406	18.181818181818183	2551767.0		
ctrl.3.2.5_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST						86.53732883919261	2208231
