Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
ctrl.1.0.5_output_forward_paired	37.60876507654438	46.0	121.0977335997761	9.090909090909092	814684.0				
ctrl.1.0.5_output_reverse_paired	37.19561579983688	47.0	120.25482518375223	9.090909090909092	814684.0				
ctrl.1.0.5_second_pass_out						75.23	612875.0		
ctrl.1.0.5_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST								0.0	0
ctrl.1.0.5_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.02.19-PST								74.86890622621777	609945
ctrl.1.0.5_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST								80.99447147605697	659849
ctrl.1.0.5_sel.align.gencode.v39.process.aware.salmon.v1.6.0.sidx_2022-01-06-09.08.54-PST								83.3954023891472	679409
ctrl.1.0.5_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST								74.94611407613259	610574
ctrl.1.0.5_sel.align.gencode.v39.ucsc.rmsk.salmon.v1.6.0.sidx_2022-01-05-20.02.34-PST								81.03411875033756	660172
ctrl.1.1.5_output_forward_paired	38.88731370965199	47.0	130.25755844741693	18.181818181818183	407888.0				
ctrl.1.1.5_output_reverse_paired	38.772310364123655	47.0	129.1114325501118	9.090909090909092	407888.0				
ctrl.1.1.5_second_pass_out						77.08	314398.0		
ctrl.1.1.5_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST								0.0	0
ctrl.1.1.5_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.02.19-PST								83.17945122190406	339279
ctrl.1.1.5_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST								87.72334562428902	357813
ctrl.1.1.5_sel.align.gencode.v39.process.aware.salmon.v1.6.0.sidx_2022-01-06-09.08.54-PST								89.4262640724905	364759
ctrl.1.1.5_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST								83.26967206684188	339647
ctrl.1.1.5_sel.align.gencode.v39.ucsc.rmsk.salmon.v1.6.0.sidx_2022-01-05-20.02.34-PST								87.78365629780724	358059
ctrl.1.2.0_output_forward_paired	54.08479433816168	49.0	143.2521264903102	18.181818181818183	1669535.0				
ctrl.1.2.0_output_reverse_paired	52.7324313242402	49.0	141.04363250845296	18.181818181818183	1669535.0				
ctrl.1.2.0_second_pass_out						84.99	1419021.0		
