Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
ctrl.1.0.5_second_pass_out	814684.0	241.0	612875.0	75.23	249.15	447665.0	443618.0	442242.0	2794.0	201.0	2428.0	0.31	0.02	1.19	0.01	1.38	97314.0	11.94	156.0	0.02	0.0	12.64	0.17	0	102954	1385
ctrl.1.1.5_second_pass_out	407888.0	259.0	314398.0	77.08	265.69	261947.0	241619.0	259162.0	1602.0	105.0	1078.0	0.31	0.02	1.17	0.01	1.38	50584.0	12.4	55.0	0.01	0.0	10.39	0.12	0	42362	489
ctrl.1.2.0_second_pass_out	1669535.0	283.0	1419021.0	84.99	283.59	1503370.0	1496641.0	1483027.0	13690.0	529.0	6124.0	0.32	0.02	1.16	0.01	1.53	205228.0	12.29	56.0	0.0	0.0	2.39	0.32	0	39889	5341
ctrl.1.3.0_second_pass_out	271309.0	274.0	218128.0	80.4	277.15	201836.0	200654.0	199041.0	1560.0	103.0	1132.0	0.34	0.02	1.22	0.01	1.44	37325.0	13.76	27.0	0.01	0.0	5.62	0.21	0	15259	570
ctrl.1.5.0_second_pass_out	799405.0	279.0	664519.0	83.13	281.25	611966.0	609552.0	604842.0	4473.0	247.0	2404.0	0.29	0.02	1.22	0.01	1.49	96272.0	12.04	27.0	0.0	0.0	4.66	0.17	0	37229	1358
ctrl.2.3.4_second_pass_out	4206724.0	289.0	3520413.0	83.69	288.37	4716148.0	4698099.0	4655316.0	39361.0	1445.0	20026.0	0.29	0.01	1.39	0.0	1.38	537142.0	12.77	121.0	0.0	0.0	3.18	0.36	0	133891	15157
ctrl.3.2.5_second_pass_out	2551767.0	149.0	2023872.0	79.31	148.69	1312519.0	1308112.0	1289782.0	17877.0	531.0	4329.0	0.33	0.01	1.26	0.0	1.25	417285.0	16.35	86.0	0.0	0.0	3.9	0.43	0	99548	10976
hg38_star_2.7.9a_2021-12-20-12.04.36-PST_star_out	814684.0	241.0	601620.0	73.85	249.03	326153.0	0.0	321978.0	1725.0	144.0	2306.0	0.34	0.02	1.2	0.01	1.39	107484.0	13.19	173.0	0.02	0.0	12.83	0.11	0	104511	896
hg38_star_2.7.9a_2021-12-20-12.13.45-PST_star_out	2551767.0	149.0	1986015.0	77.83	147.85	686136.0	0.0	680482.0	2926.0	335.0	2393.0	0.41	0.01	1.26	0.0	1.27	462893.0	18.14	161.0	0.01	0.0	3.95	0.07	0	100910	1788
rna_editing_hg38_star_2.7.9a_2021-12-18-22.16.46-PST_star_out	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0
