Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
panc.1.2.3_output_forward_paired	panc.1.2.3_output_forward_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	555371.0	0.0	36-151	46.0	51.054412327137754	128.64628509590887	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
panc.1.2.3_output_reverse_paired	panc.1.2.3_output_reverse_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	555371.0	0.0	36-151	46.0	51.57619997039527	127.96968332880182	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
panc.10.1.2_output_forward_paired	panc.10.1.2_output_forward_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5912528.0	0.0	36-151	48.0	37.1104621061464	130.75826617649844	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
panc.10.1.2_output_reverse_paired	panc.10.1.2_output_reverse_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5912528.0	0.0	36-151	49.0	37.857387302175326	129.88407429106468	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
panc.10.2.5_output_forward_paired	panc.10.2.5_output_forward_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1771916.0	0.0	36-76	54.0	81.15249492006785	66.70754369845974	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
panc.10.2.5_output_reverse_paired	panc.10.2.5_output_reverse_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1771916.0	0.0	36-76	54.0	80.56569745259837	66.24577237295674	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
panc.2.2.7_output_forward_paired	panc.2.2.7_output_forward_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	500718.0	0.0	36-151	49.0	69.97163071155376	115.32645521031799	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
panc.2.2.7_output_reverse_paired	panc.2.2.7_output_reverse_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	500718.0	0.0	36-151	49.0	70.10135885140362	114.7256839178939	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
panc.3.2.5_output_forward_paired	panc.3.2.5_output_forward_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1042370.0	0.0	36-151	50.0	49.38916000232601	137.20238303097747	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
panc.3.2.5_output_reverse_paired	panc.3.2.5_output_reverse_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1042370.0	0.0	36-151	50.0	50.904231383497375	135.24988439805443	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
