Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_targets	num_decoy_targets	serialized_eq_classes	num_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	percent_mapped	call	start_time	end_time	num_valid_targets	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm
ctrl.1.intra_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST	1.6.0	none	none	['insufficient_assigned_fragments']	1	['IU']	0	0.0	0.0	False	False	0	mapping	False	0	194	False	0	['range_factorized', 'gzipped']	[]	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	29579428	0	0.0	quant	Fri Dec 17 18:07:19 2021	Fri Dec 17 18:11:23 2021					
ctrl.1.intra_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST	1.6.0	none	vb	[]	1	['ISR']	1001	174.8263639554971	58.657037008779575	True	True	4096	mapping	False		194	False	374743	['range_factorized', 'gzipped']	[543, 742, 1307, 2531, 347561]	3b752bf3c19b81b04b47aaf645fc69f3361d4f1a9dadf8acb941ab9fa889e9a3	4f1b44ac48e5616105e8fdfb05a1b0e3f39a9005e27b9fb8c1e6d18cc3dfd91d	74f418352106e5baa911a4ab6aba9ee586df40b81049e9566a2a7b9e6c9fb1547a2a3d6e8a6f543420b78568100b4cd339523d5a962d2128e855f89b98e447cc	86e6ff7283dd2cb9459f64b7f17c7ef181a3f0e59ff87b79fde723f60f707f8a587125b1d4ee53edeef651ea6b29042a0de03f5bd6018dbd105942bbe53f42a5	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	29579428	27993292	94.63770563785074	quant	Thu Dec 16 22:50:33 2021	Thu Dec 16 23:05:41 2021	236186	568187	314899	641069	11811521
ctrl.1.intra_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST	1.6.0	none	vb	[]	1	['ISR']	1001	174.67202094364004	58.63420948174851	True	True	4096	mapping	False		182	False	404625	['range_factorized', 'gzipped']	[83, 158, 277, 362, 500000]	ec382acffce98c893f7ca03787d511721ca8273975e8f6245bc50735e1c6c688	77cadbf221c491e348b5188f1eb066bb1d3857fba256cbc05a96107e54bb2bfd	a657c7135db6f99bf7460fa70feedd8bbbba96f6f690ef785b2ac7ff069e2188e79b56bfa208ee6df2f01337cad095ed0eb7dd05acfc0805b2f4f201e9385426	0fe6f28eb3a07d98c4d173b222be928b8b348d04e4daf2fe34903322e2b92c0c98d10abda7de88b042c143b48c8f648b10cf9d1ad57a358390032c5650052adf	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	29579428	28646769	96.84693361886512	quant	Fri Dec 17 14:33:59 2021	Fri Dec 17 14:58:20 2021	5394927	494383	318734	567948	12132841
ctrl.1.intra_sel.align.gencode.v39.process.aware.salmon.v1.6.0.sidx_2022-01-06-09.08.54-PST	1.6.0	none	vb	[]	1	['ISR']	1001	174.74582591140353	58.557559377629346	True	True	4096	mapping	False		194	False	490465	['range_factorized', 'gzipped']	[569, 1070, 2231, 5393, 1160591]	bee8bee285c154e1e0e1ed011ecac8d85635daaf71d3ee77f9aa35ab64d88fa2	03b819d66f871411ef0c14c9c7a0671d95967258f074fb45a96d3931d60eec8e	79119a363967db8dab2322d163b55d8e8c2065cc5cecdb2dd278c1a6728706b765718b3b9d432fb906a1d0bde8f05bf4acb6c6299859eb4dadf6e8d441700a03	a2bebacaef6e0cb0d08e65129e713788129159e44f156ba6f46e1c0023d535370b894c00a68744a9b1857aaba76b99d571a2fde1c23469b78dbaf535350e4183	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	29579428	28955260	97.88985777547829	quant	Thu Jan 06 09:08:55 2022	Thu Jan 06 10:08:46 2022	636922	293727	517495	367322	19451718
ctrl.1.intra_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST	1.6.0	none	vb	[]	1	['ISR']	1001	174.81796375964203	58.72552915976477	True	True	4096	mapping	False		194	False	379922	['range_factorized', 'gzipped']	[545, 753, 1333, 2558, 205012]	080df8fc08ea8d4956149a5aa597f9b4f1a59421eaf2e5180b5c9d62d6ffc8e0	ae1350e441e016eb2a3717a836173975334a9598f04efeb285c198ea2fed8509	c21e6ea8470ea3191fd826f17e0fc57a7e6488b5b3fb632d435b083d28ba3f013d1cb8c5409d5448b621cbc4256e7cddf9819da72a9482a8856db4c5191e2c94	8e909ba56e00bafc049f1c2f1150971a5a89bcbeaa99b5f73008407482d7d735961998abae24c5174666b6d451901a6ce1c7c35fdfb505ca0324337e0ea5ba41	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	29579428	28006417	94.68207769264504	quant	Wed Jan 05 16:33:42 2022	Wed Jan 05 16:58:41 2022	243577	562687	314976	634647	11967879
ctrl.1.intra_sel.align.gencode.v39.ucsc.rmsk.salmon.v1.6.0.sidx_2022-01-05-20.02.34-PST	1.6.0	none	vb	[]	1	['ISR']	1001	174.67275030580845	58.61053240927128	True	True	4096	mapping	False		182	False	410039	['range_factorized', 'gzipped']	[83, 158, 277, 362, 500000]	a5f6d42b77f4043a5ec632a0f64460c1b1bcb5e5da814c396bfa48f252f71fc9	94a5f15213edc6bff56be9a0360878be9c42ba20bda155f00e7595ae25eca395	5c53108a28b53c8e75a6d094dce1ea419049a68866db0415ec20e6f40868dd3cd0ddfb8e95737d9d760c4f376a213b956f9b7160c3c4a8c29d58f1ea7c42b433	52a52954624c44319b45570779b99d735bbc6c9ec3cae576e83c808425fc6b5afbf1cb0ae5573e3ca3cd6cd0ccf314c44735dc9236c5d9ebef14b95b8dac4deb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	29579428	28658814	96.88765448743634	quant	Wed Jan 05 20:02:35 2022	Wed Jan 05 20:40:46 2022	5351106	488031	318799	560628	12282058
ctrl.2.intra_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST	1.6.0	none	none	['insufficient_assigned_fragments']	1	['IU']	0	0.0	0.0	False	False	0	mapping	False	0	194	False	0	['range_factorized', 'gzipped']	[]	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	8498569	0	0.0	quant	Fri Dec 17 18:11:28 2021	Fri Dec 17 18:13:42 2021					
ctrl.2.intra_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST	1.6.0	none	vb	[]	1	['ISR']	1001	170.5657778231031	54.706563494385605	True	True	4096	mapping	False		194	False	249657	['range_factorized', 'gzipped']	[543, 742, 1307, 2531, 347561]	3b752bf3c19b81b04b47aaf645fc69f3361d4f1a9dadf8acb941ab9fa889e9a3	4f1b44ac48e5616105e8fdfb05a1b0e3f39a9005e27b9fb8c1e6d18cc3dfd91d	74f418352106e5baa911a4ab6aba9ee586df40b81049e9566a2a7b9e6c9fb1547a2a3d6e8a6f543420b78568100b4cd339523d5a962d2128e855f89b98e447cc	86e6ff7283dd2cb9459f64b7f17c7ef181a3f0e59ff87b79fde723f60f707f8a587125b1d4ee53edeef651ea6b29042a0de03f5bd6018dbd105942bbe53f42a5	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	8498569	8067823	94.93154671098158	quant	Thu Dec 16 23:13:11 2021	Thu Dec 16 23:20:25 2021	236186	148636	100361	170101	3428952
ctrl.2.intra_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST	1.6.0	none	vb	[]	1	['ISR']	1001	170.39058065230546	54.58872308290086	True	True	4096	mapping	False		182	False	264234	['range_factorized', 'gzipped']	[83, 158, 277, 362, 500000]	ec382acffce98c893f7ca03787d511721ca8273975e8f6245bc50735e1c6c688	77cadbf221c491e348b5188f1eb066bb1d3857fba256cbc05a96107e54bb2bfd	a657c7135db6f99bf7460fa70feedd8bbbba96f6f690ef785b2ac7ff069e2188e79b56bfa208ee6df2f01337cad095ed0eb7dd05acfc0805b2f4f201e9385426	0fe6f28eb3a07d98c4d173b222be928b8b348d04e4daf2fe34903322e2b92c0c98d10abda7de88b042c143b48c8f648b10cf9d1ad57a358390032c5650052adf	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	8498569	8233406	96.8799100177924	quant	Fri Dec 17 14:58:34 2021	Fri Dec 17 15:12:33 2021	5394927	133618	101599	155377	3524713
ctrl.2.intra_sel.align.gencode.v39.process.aware.salmon.v1.6.0.sidx_2022-01-06-09.08.54-PST	1.6.0	none	vb	[]	1	['ISR']	1001	170.5382825028234	54.58304875673922	True	True	4096	mapping	False		194	False	314706	['range_factorized', 'gzipped']	[569, 1070, 2231, 5393, 1160591]	bee8bee285c154e1e0e1ed011ecac8d85635daaf71d3ee77f9aa35ab64d88fa2	03b819d66f871411ef0c14c9c7a0671d95967258f074fb45a96d3931d60eec8e	79119a363967db8dab2322d163b55d8e8c2065cc5cecdb2dd278c1a6728706b765718b3b9d432fb906a1d0bde8f05bf4acb6c6299859eb4dadf6e8d441700a03	a2bebacaef6e0cb0d08e65129e713788129159e44f156ba6f46e1c0023d535370b894c00a68744a9b1857aaba76b99d571a2fde1c23469b78dbaf535350e4183	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	8498569	8329430	98.00979435479078	quant	Thu Jan 06 10:09:06 2022	Thu Jan 06 10:44:38 2022	636922	74570	154750	96278	5736790
