Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
ctrl.10.0.4_output_forward_paired	84.65001430375739	45.0	124.03236420333387	18.181818181818183	6280272.0		
ctrl.10.0.4_output_reverse_paired	83.62896110976213	45.0	123.13249012144696	18.181818181818183	6280272.0		
ctrl.10.0.4_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST						0.0	0
ctrl.10.0.4_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.02.19-PST						91.260681066043	5731419
ctrl.10.0.4_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST						92.04824249650333	5780880
ctrl.11.1.1_output_forward_paired	86.6296765572717	45.0	128.74903946411177	27.27272727272727	5825394.0		
ctrl.11.1.1_output_reverse_paired	85.68959823156044	45.0	127.88273874694141	27.27272727272727	5825394.0		
ctrl.11.1.1_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST						0.0	0
ctrl.11.1.1_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST						93.00050777681304	5417646
ctrl.11.1.1_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST						93.15878033314141	5426866
ctrl.12.1.1_output_forward_paired	85.34429810286687	45.0	126.00957936049468	27.27272727272727	6891483.0		
ctrl.12.1.1_output_reverse_paired	84.28307005038957	45.0	125.15834356697971	27.27272727272727	6891483.0		
ctrl.12.1.1_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST						0.0	0
ctrl.12.1.1_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST						91.78507731935201	6325353
ctrl.12.1.1_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST						92.05783428617615	6344150
ctrl.13.0.7_output_forward_paired	85.20137192216514	45.0	127.70839970357578	27.27272727272727	5832182.0		
ctrl.13.0.7_output_reverse_paired	84.42925362224206	45.0	126.96127195619067	27.27272727272727	5832182.0		
ctrl.13.0.7_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST						0.0	0
ctrl.13.0.7_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST						92.53920745271667	5397055
ctrl.13.0.7_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST						92.88592159846864	5417276
ctrl.4.1.3_output_forward_paired	86.33571483927986	45.0	126.21511202179282	18.181818181818183	4406955.0		
ctrl.4.1.3_output_reverse_paired	85.11264217210467	45.0	125.11031313004104	18.181818181818183	4406955.0		
ctrl.4.1.3_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST						0.0	0
ctrl.4.1.3_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST						92.55789995586522	4078985
ctrl.4.1.3_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST						92.66262078918437	4083600
ctrl.5.1.3_output_forward_paired	87.76051150283905	44.0	126.44624582253164	27.27272727272727	6691852.0		
ctrl.5.1.3_output_reverse_paired	87.29795416963944	44.0	125.9283234297471	27.27272727272727	6691852.0		
ctrl.5.1.3_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST						0.0	0
ctrl.5.1.3_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST						92.66010366039177	6200677
ctrl.5.1.3_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST						92.78117627227859	6208779
ctrl.6.1.5_output_forward_paired	83.84320425351002	46.0	130.27205958165382	27.27272727272727	4927020.0		
ctrl.6.1.5_output_reverse_paired	82.64600777015286	46.0	129.15151592646265	27.27272727272727	4927020.0		
ctrl.6.1.5_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST						0.0	0
ctrl.6.1.5_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST						93.0308381130988	4583648
ctrl.6.1.5_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST						93.24658718657524	4594278
