Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
covid.381.0.80_output_forward_paired	18.993056048301696	46.0	107.58960613847128	9.090909090909092	5566728.0				
covid.381.0.80_output_reverse_paired	18.862074843255	46.0	106.89699281157621	9.090909090909092	5566728.0				
covid.381.0.80_second_pass_out						73.33	4082020.0		
covid.381.0.80_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST								0.0	0
covid.381.0.80_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST								17.201002096743366	957533
covid.381.0.80_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST								50.144591221270375	2791413
covid.381.0.80_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST								17.3494555509089	965797
covid.396.0.68_output_forward_paired	41.542268455104846	44.0	128.6962210904898	0.0	3718586.0				
covid.396.0.68_output_reverse_paired	41.207393351860176	45.0	127.88686210296063	0.0	3718586.0				
covid.396.0.68_second_pass_out						75.88	2821803.0		
covid.396.0.68_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST								0.0	0
covid.396.0.68_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST								59.335699107133735	2206449
covid.396.0.68_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST								70.88129735334883	2635782
covid.396.0.68_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST								59.8635072578663	2226076
covid.400.0.56_output_forward_paired	40.32501164862475	45.0	124.86849097979233	9.090909090909092	3587944.0				
covid.400.0.56_output_reverse_paired	40.05471231739176	45.0	124.05829661778445	9.090909090909092	3587944.0				
covid.400.0.56_second_pass_out						75.24	2699547.0		
covid.400.0.56_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST								0.0	0
covid.400.0.56_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST								66.18503521794096	2374682
covid.400.0.56_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST								74.31618219236421	2666423
covid.400.0.56_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST								66.49119941671331	2385667
covid.411.0.75_output_forward_paired	50.09451984809391	44.0	125.71302366893319	18.181818181818183	4586772.0				
covid.411.0.75_output_reverse_paired	49.91932141533678	44.0	125.062811275555	9.090909090909092	4586772.0				
covid.411.0.75_second_pass_out						73.68	3379319.0		
covid.411.0.75_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST								0.0	0
covid.411.0.75_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST								69.40706884929097	3183544
covid.411.0.75_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST								77.25552959684937	3543535
covid.411.0.75_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST								69.90940469681074	3206585
covid.412.0.64_output_forward_paired	65.06371526529631	43.0	119.94371269877003	18.181818181818183	4513256.0				
covid.412.0.64_output_reverse_paired	64.5080663731463	43.0	119.28145777682454	18.181818181818183	4513256.0				
covid.412.0.64_second_pass_out						72.61	3277258.0		
covid.412.0.64_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST								0.0	0
covid.412.0.64_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST								75.85315346614506	3423447
covid.412.0.64_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST								80.01487174669462	3611276
