Module	Section	Sample Name	Source
Salmon	all_sections	ctrl.1.0.5_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.02.19-PST	/public/groups/kimlab/exRNA_disease_biomarkers/data/input_data/bioIvt_ctrl/ctrl.1.0.5/ctrl.1.0.5_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.02.19-PST/libParams/flenDist.txt
Salmon	all_sections	ctrl.1.1.5_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.02.19-PST	/public/groups/kimlab/exRNA_disease_biomarkers/data/input_data/bioIvt_ctrl/ctrl.1.1.5/ctrl.1.1.5_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.02.19-PST/libParams/flenDist.txt
Salmon	all_sections	ctrl.1.2.0_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST	/public/groups/kimlab/exRNA_disease_biomarkers/data/input_data/bioIvt_ctrl/ctrl.1.2.0/ctrl.1.2.0_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST/libParams/flenDist.txt
Salmon	all_sections	ctrl.1.3.0_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST	/public/groups/kimlab/exRNA_disease_biomarkers/data/input_data/bioIvt_ctrl/ctrl.1.3.0/ctrl.1.3.0_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST/libParams/flenDist.txt
Salmon	all_sections	ctrl.1.5.0_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST	/public/groups/kimlab/exRNA_disease_biomarkers/data/input_data/bioIvt_ctrl/ctrl.1.5.0/ctrl.1.5.0_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST/libParams/flenDist.txt
Salmon	all_sections	ctrl.2.3.4_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST	/public/groups/kimlab/exRNA_disease_biomarkers/data/input_data/bioIvt_ctrl/ctrl.2.3.4/ctrl.2.3.4_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST/libParams/flenDist.txt
Salmon	all_sections	ctrl.3.2.5_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST	/public/groups/kimlab/exRNA_disease_biomarkers/data/input_data/bioIvt_ctrl/ctrl.3.2.5/ctrl.3.2.5_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST/libParams/flenDist.txt
FastQC	all_sections	ctrl.1.0.5_output_forward_paired	/public/groups/kimlab/exRNA_disease_biomarkers/data/input_data/bioIvt_ctrl/ctrl.1.0.5/ctrl.1.0.5_output_forward_paired_fastqc.zip
FastQC	all_sections	ctrl.1.0.5_output_reverse_paired	/public/groups/kimlab/exRNA_disease_biomarkers/data/input_data/bioIvt_ctrl/ctrl.1.0.5/ctrl.1.0.5_output_reverse_paired_fastqc.zip
FastQC	all_sections	ctrl.1.1.5_output_forward_paired	/public/groups/kimlab/exRNA_disease_biomarkers/data/input_data/bioIvt_ctrl/ctrl.1.1.5/ctrl.1.1.5_output_forward_paired_fastqc.zip
FastQC	all_sections	ctrl.1.1.5_output_reverse_paired	/public/groups/kimlab/exRNA_disease_biomarkers/data/input_data/bioIvt_ctrl/ctrl.1.1.5/ctrl.1.1.5_output_reverse_paired_fastqc.zip
FastQC	all_sections	ctrl.1.2.0_output_reverse_paired	/public/groups/kimlab/exRNA_disease_biomarkers/data/input_data/bioIvt_ctrl/ctrl.1.2.0/ctrl.1.2.0_output_reverse_paired_fastqc.zip
FastQC	all_sections	ctrl.1.2.0_output_forward_paired	/public/groups/kimlab/exRNA_disease_biomarkers/data/input_data/bioIvt_ctrl/ctrl.1.2.0/ctrl.1.2.0_output_forward_paired_fastqc.zip
FastQC	all_sections	ctrl.1.3.0_output_forward_paired	/public/groups/kimlab/exRNA_disease_biomarkers/data/input_data/bioIvt_ctrl/ctrl.1.3.0/ctrl.1.3.0_output_forward_paired_fastqc.zip
FastQC	all_sections	ctrl.1.3.0_output_reverse_paired	/public/groups/kimlab/exRNA_disease_biomarkers/data/input_data/bioIvt_ctrl/ctrl.1.3.0/ctrl.1.3.0_output_reverse_paired_fastqc.zip
FastQC	all_sections	ctrl.1.5.0_output_forward_paired	/public/groups/kimlab/exRNA_disease_biomarkers/data/input_data/bioIvt_ctrl/ctrl.1.5.0/ctrl.1.5.0_output_forward_paired_fastqc.zip
FastQC	all_sections	ctrl.1.5.0_output_reverse_paired	/public/groups/kimlab/exRNA_disease_biomarkers/data/input_data/bioIvt_ctrl/ctrl.1.5.0/ctrl.1.5.0_output_reverse_paired_fastqc.zip
