Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
covid.381.0.80_second_pass_out	5566728.0	214.0	4082020.0	73.33	216.41	648292.0	582519.0	582498.0	24440.0	2518.0	38836.0	0.7	0.02	1.72	0.01	1.44	643715.0	11.56	1774.0	0.03	0.0	11.96	3.12	0	665587	173632
covid.396.0.68_second_pass_out	3718586.0	256.0	2821803.0	75.88	258.76	1797362.0	1777302.0	1734854.0	27101.0	7641.0	27766.0	0.35	0.02	1.7	0.02	1.38	554715.0	14.92	598.0	0.02	0.0	7.75	1.43	0	288278	53192
covid.400.0.56_second_pass_out	3587944.0	248.0	2699547.0	75.24	256.31	2098413.0	2083823.0	2036321.0	28376.0	5011.0	28705.0	0.33	0.02	1.52	0.01	1.4	507548.0	14.15	821.0	0.02	0.0	7.95	2.64	0	285290	94738
covid.411.0.75_second_pass_out	4586772.0	250.0	3379319.0	73.68	257.55	2659036.0	2637531.0	2574947.0	40413.0	8501.0	35175.0	0.31	0.02	1.51	0.01	1.41	718420.0	15.66	1093.0	0.02	0.0	8.09	2.55	0	370999	116941
covid.412.0.64_second_pass_out	4513256.0	239.0	3277258.0	72.61	249.31	1119858.0	1097316.0	1021493.0	61846.0	5094.0	31425.0	0.38	0.03	1.17	0.01	1.35	583892.0	12.94	867.0	0.02	0.0	9.05	5.38	0	408435	242804
covid.426.0.80_second_pass_out	4577236.0	245.0	3299576.0	72.09	248.39	1617962.0	1590774.0	1563417.0	23958.0	3491.0	27096.0	0.41	0.02	1.7	0.01	1.44	756864.0	16.54	913.0	0.02	0.0	9.12	2.24	0	417371	102512
covid.427.0.80_second_pass_out	5057148.0	233.0	3940454.0	77.92	229.39	280754.0	225323.0	227650.0	12664.0	1108.0	39332.0	0.66	0.02	1.81	0.01	1.49	422116.0	8.35	1072.0	0.02	0.0	12.71	1.01	0	642453	51053
covid.432.0.58_second_pass_out	4750363.0	241.0	3493124.0	73.53	250.1	1480408.0	1453966.0	1383379.0	55374.0	5892.0	35763.0	0.41	0.03	1.24	0.01	1.52	574914.0	12.1	1185.0	0.02	0.0	10.26	4.08	0	487343	193797
covid.440.0.60_second_pass_out	4133413.0	244.0	3234324.0	78.25	249.31	1200001.0	1180526.0	1136854.0	33285.0	3454.0	26408.0	0.37	0.02	1.37	0.01	1.47	458308.0	11.09	632.0	0.02	0.0	7.81	2.83	0	323079	117070
covid.441.0.64_second_pass_out	5475547.0	249.0	4051093.0	73.99	257.67	1382805.0	1346375.0	1231925.0	91152.0	7461.0	52267.0	0.42	0.04	1.15	0.0	1.69	695259.0	12.7	1270.0	0.02	0.0	9.04	4.25	0	495142	232783
covid.450.0.84_second_pass_out	4190451.0	245.0	3275397.0	78.16	249.29	882704.0	858824.0	817355.0	35290.0	3035.0	27024.0	0.41	0.03	1.36	0.01	1.47	446996.0	10.67	616.0	0.01	0.0	8.15	3.01	0	341367	126075
