Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
panc.1.2.3_second_pass_out	555371.0	256.0	435110.0	78.35	262.07	233824.0	229583.0	224208.0	6088.0	107.0	3421.0	0.56	0.03	1.14	0.0	1.42	54026.0	9.73	42.0	0.01	0.0	11.05	0.86	0	61413	4780
panc.10.1.2_second_pass_out	5912528.0	260.0	4874468.0	82.44	265.65	3534818.0	3514028.0	3447611.0	59245.0	1177.0	26785.0	0.41	0.03	1.13	0.0	1.39	604409.0	10.22	662.0	0.01	0.0	6.85	0.47	0	405188	27801
panc.10.2.5_second_pass_out	1771916.0	132.0	1134679.0	64.04	136.66	226816.0	195628.0	199769.0	23548.0	67.0	3432.0	1.45	0.01	1.17	0.0	1.3	437702.0	24.7	216.0	0.01	0.0	7.95	3.3	0	140852	58467
panc.2.2.7_second_pass_out	500718.0	229.0	386971.0	77.28	236.17	96153.0	85485.0	86363.0	7166.0	32.0	2592.0	1.04	0.02	1.17	0.01	1.28	67795.0	13.54	66.0	0.01	0.0	8.02	1.14	0	40175	5711
panc.3.2.5_second_pass_out	1042370.0	272.0	758738.0	72.79	275.09	831991.0	826945.0	818764.0	7952.0	360.0	4915.0	0.36	0.01	1.27	0.0	1.55	157390.0	15.1	149.0	0.01	0.0	11.41	0.68	0	119001	7092
panc.4.3.9_second_pass_out	989029.0	255.0	797471.0	80.63	259.85	468552.0	457961.0	450403.0	11221.0	170.0	6758.0	0.66	0.02	1.17	0.0	1.35	121551.0	12.29	70.0	0.01	0.0	6.51	0.57	0	64306	5631
panc.5.4.5_second_pass_out	1067689.0	245.0	832179.0	77.94	247.49	170844.0	147560.0	154758.0	11168.0	73.0	4845.0	1.25	0.01	1.4	0.01	1.38	140593.0	13.17	106.0	0.01	0.0	8.1	0.78	0	86483	8328
panc.6.1.1_second_pass_out	5195252.0	245.0	4124576.0	79.39	253.38	2929804.0	2887279.0	2853565.0	49979.0	1120.0	25140.0	0.47	0.02	1.16	0.0	1.34	773926.0	14.9	500.0	0.01	0.0	4.69	1.02	0	243330	52920
panc.6.2.5_second_pass_out	912453.0	137.0	601158.0	65.88	138.94	100860.0	84944.0	88499.0	10613.0	37.0	1711.0	1.62	0.0	1.15	0.0	1.3	204965.0	22.46	167.0	0.02	0.0	9.14	2.5	0	83362	22801
panc.7.1.1_second_pass_out	5932926.0	262.0	4919226.0	82.91	264.9	3510559.0	3496933.0	3429054.0	49561.0	1117.0	30827.0	0.32	0.03	1.12	0.0	1.32	817485.0	13.78	144.0	0.0	0.0	3.09	0.21	0	183594	12477
panc.7.2.5_second_pass_out	506311.0	144.0	383734.0	75.79	144.51	69374.0	65166.0	62240.0	5238.0	27.0	1869.0	0.84	0.02	1.07	0.0	1.22	79418.0	15.69	35.0	0.01	0.0	7.42	1.09	0	37600	5524
panc.8.2.5_second_pass_out	3584969.0	148.0	2840695.0	79.24	147.82	1681431.0	1673069.0	1647874.0	21254.0	608.0	11695.0	0.36	0.01	1.23	0.0	1.23	626628.0	17.48	221.0	0.01	0.0	2.82	0.45	0	101266	16159
panc.9.1.1_second_pass_out	4607960.0	206.0	3040567.0	65.99	221.79	1208701.0	1161100.0	1141119.0	44585.0	519.0	22478.0	0.66	0.02	1.14	0.01	1.26	640092.0	13.89	2128.0	0.05	0.0	18.43	1.65	0	849150	76023
panc.9.2.5_second_pass_out	2021632.0	146.0	1580715.0	78.19	146.44	417317.0	406281.0	389727.0	17144.0	342.0	10104.0	0.68	0.02	1.14	0.0	1.27	285072.0	14.1	519.0	0.03	0.0	6.62	1.06	0	133888	21438
