Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
ctrl.10.0.4_second_pass_out	6280272.0	246.0	5579650.0	88.84	250.13	1233875.0	1228092.0	1035786.0	116537.0	53607.0	27945.0	0.39	0.05	1.06	0.0	1.31	547892.0	8.72	249.0	0.0	0.0	2.33	0.1	0	146206	6275
ctrl.11.1.1_second_pass_out	5825394.0	256.0	5245619.0	90.05	258.92	1316361.0	1311795.0	1134086.0	107436.0	50015.0	24824.0	0.29	0.05	1.07	0.0	1.47	471188.0	8.09	256.0	0.0	0.0	1.79	0.07	0	104254	4077
ctrl.12.1.1_second_pass_out	6891483.0	250.0	6146634.0	89.19	253.86	1698979.0	1693397.0	1525328.0	123344.0	23243.0	27064.0	0.38	0.05	1.07	0.0	1.39	576094.0	8.36	368.0	0.01	0.0	2.37	0.07	0	163556	4831
ctrl.13.0.7_second_pass_out	5832182.0	254.0	5239139.0	89.83	257.27	1455844.0	1451086.0	1263966.0	116601.0	49815.0	25462.0	0.38	0.05	1.06	0.0	1.35	470062.0	8.06	212.0	0.0	0.0	2.03	0.08	0	118114	4655
ctrl.4.1.3_second_pass_out	4406955.0	251.0	3986369.0	90.46	254.0	847950.0	845560.0	681809.0	107454.0	39591.0	19096.0	0.5	0.04	1.09	0.0	1.56	336573.0	7.64	167.0	0.0	0.0	1.83	0.08	0	80334	3512
ctrl.5.1.3_second_pass_out	6691852.0	252.0	6000158.0	89.66	255.46	1284658.0	1280799.0	1026958.0	152240.0	75244.0	30216.0	0.38	0.06	1.06	0.0	1.51	533283.0	7.97	426.0	0.01	0.0	2.3	0.06	0	153968	4017
ctrl.6.1.5_second_pass_out	4927020.0	259.0	4419601.0	89.7	261.25	1578158.0	1573548.0	1424980.0	88664.0	45142.0	19372.0	0.32	0.05	1.07	0.0	1.52	415213.0	8.43	220.0	0.0	0.0	1.78	0.09	0	87559	4427
ctrl.7.1.2_second_pass_out	5395804.0	251.0	4897318.0	90.76	254.01	875121.0	871405.0	696029.0	105636.0	48888.0	24568.0	0.33	0.05	1.07	0.0	1.47	403923.0	7.49	169.0	0.0	0.0	1.67	0.08	0	90079	4315
ctrl.8.1.2_second_pass_out	4311168.0	253.0	3889328.0	90.22	256.46	969427.0	965179.0	840395.0	75347.0	34652.0	19033.0	0.36	0.04	1.06	0.0	1.3	342131.0	7.94	85.0	0.0	0.0	1.75	0.1	0	75320	4304
ctrl.9.1.2_second_pass_out	5346780.0	259.0	4847329.0	90.66	261.35	908513.0	904930.0	746101.0	95379.0	42013.0	25020.0	0.3	0.04	1.06	0.0	1.34	413410.0	7.73	170.0	0.0	0.0	1.53	0.07	0	82114	3757
